id,list,Order,Ecoregion,FishDataCoast,NOAA_No,NoaaName,name,longitude,latitude,EstuariesDb,State,StateAbrev,Province,OysterType,BayVolume_1000m3,BayResidenceTime_d,HistoricReefArea_ha,HistoricOverallBiomass_g,CurrentOverallBiomass_g,HistoricTotalDensity_ind_m2,HistoricMeanLength_mm,HistoricMeanIndBiomass_g,HistoricCullDensity_ind_m2,HistoricCullMeanLength_mm,HistoricCullIndBiomass_g,HistoricMarketDensity_ind_m2,HistoricMarketMeanLength_mm,HistoricMarketIndBiomass_g,CurrentReefArea_ha,CurrentTotalDensity_ind_m2,CurrentMeanLength_mm,CurrentMeanIndBiomass_g,CurrentCullDensity_ind_m2,CurrentCullMeanLength_mm,CurrentCullIndBiomass_g,CurrentMarketDensity_ind_m2,CurrentMarketMeanLength_mm,CurrentMarketIndBiomass_g,Length2MassRefName,Length2MassEquation,Length2MassReferenceFull,TSummerAvg,TJan,TFeb,TMar,TApr,TMay,TJune,TJuly,TAug,TSept,TOct,TNov,TDec,Years/Proxy,Reference
43,46,135,Northern Gulf of Mexico ,Gulf of Mexico,16,Mobile Bay,Mobile Bay,-88.00323486,30.47175683,,Alabama,AL,Warm Temperate Northwest Atlantic,Eastern,2060890,9,1151,3.05,,29.22,,,15.43,65,0.74,13.79,87,2.3,1045,11.16,51.3924498,0.3,8.14,45.5,0.19,3.02,89.71,2.6,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,29.76,11.76,12.88,17.36,21.21,25.85,29.58,30.05,29.65,28.44,23.6,17.62,13.3,,NOAA data
45,47,129,Northern Gulf of Mexico ,Gulf of Mexico,10,Apalachee Bay,Apalachee Bay,-84.05382156,30.08157218,1337,Florida,FL,Warm Temperate Northwest Atlantic,Eastern,3404160,3,,,,,,,,,,,,,1535,157.62,51.3924498,0.3,134.8,45.5,,22.83,89.71,,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,29.78,13.75,14.29,18,21.83,25.94,29.3,30,30.03,28.4,24.38,18.8,14.25,,Used Apalachicola temp data
37,34,130,Northern Gulf of Mexico ,Gulf of Mexico,11,Apalachicola Bay,Apalachicola Bay,-84.98577118,29.67656922,293,Florida,FL,Warm Temperate Northwest Atlantic,Eastern,1073330,4,2695,3.42,,14.54,,,9.95,51,0.29,4.59,94,3.13,3491,157.62,51.3924498,0.3,134.8,45.5,0.19,22.83,89.71,2.6,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,29.78,13.75,14.29,18,21.83,25.94,29.3,30,30.03,28.4,24.38,18.8,14.25,,NERR
40,38,133,Northern Gulf of Mexico ,Gulf of Mexico,14,Pensacola Bay,Pensacola Bay,-87.21719742,30.38413025,292,Florida,FL,Warm Temperate Northwest Atlantic,Eastern,1440540,27,,0,,,,,,,,,,,3144,68.27,57.07,0.45,51.87,43.12,0.15,16.4,89.71,2.6,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,29.99,13.29,13.6,18.34,21.69,26.21,29.31,30.02,30.65,28.78,24.39,18.9,14.36,,NOAA data
46,42,137,Northern Gulf of Mexico ,Gulf of Mexico,18,West Mississippi Sound (LA & partial MS-east of Biloxi).,West Mississippi Sound,-89.31335449,30.24720461,,Mississippi,MS,Warm Temperate Northwest Atlantic,Eastern,3841830,23,3391,3.05,,31.43,,,26.38,65,0.74,5.05,87,2.3,6490,1.65,,,1.33,48.4,0.24,0.33,93.42,3.04,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,29.47,11.1,12.9,16.8,21.7,26.1,28.9,30,29.5,28,23.3,19.1,13.9,2001-2010,USGS Water-Quality Monthly Statistics
32,10,152,Northern Gulf of Mexico ,Gulf of Mexico,33,Aransas Bay,Aransas Bay,-97.00378418,28.05016689,283,Texas,TX,Warm Temperate Northwest Atlantic,Eastern,513520,18,3885,3.79,,57.53,,,25.39,71,1.05,30.18,91,2.74,482,12.44,,,8.34,51.18,0.29,4.1,93.2,3.01,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,30.51,13.71,15.32,19.76,23.38,27.19,30.43,30.11,30.98,29.19,25,20.34,15.87,,NOAA data
41,11,153,Northern Gulf of Mexico ,Gulf of Mexico,34,Corpus Christi Bay,Corpus Christi Bay,-97.26676941,27.76831716,282,Texas,TX,Warm Temperate Northwest Atlantic,Eastern,1535990,46,3367,3.79,,57.53,,,25.39,71,1.05,30.18,91,2.74,290,1.42,,,1.19,46.15,0.2,0.23,97.72,3.61,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,29.74,14.78,15.58,19.27,22.51,26.43,29.14,30.08,30,29.02,26.45,22.6,16.92,,NOAA data
44,43,148,Northern Gulf of Mexico ,Gulf of Mexico,29,Galveston Bay,Galveston Bay,-94.85046387,29.48802255,286,Texas,TX,Warm Temperate Northwest Atlantic,Eastern,2242240,15,12950,3.79,,57.53,,,25.39,71,1.05,30.18,91,2.74,10795,4.07,,,1.16,47.71,0.22,1.16,99.03,3.81,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,29.78,12.85,13.77,18.66,21.68,25.83,29.22,29.66,30.47,28.9,24.64,19.46,14.29,,NOAA data
42,33,150,Northern Gulf of Mexico ,Gulf of Mexico,31,Matagorda Bay,Matagorda Bay,-96.38168335,28.57125594,285,Texas,TX,Warm Temperate Northwest Atlantic,Eastern,1572150,38,16679,3.79,,57.53,,,25.39,71,1.05,30.18,91,2.74,2229,5.2,,,4.23,45,0.18,0.97,94.08,3.12,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,30.73,13.38,15.05,19.33,22.93,28.16,30.35,30.44,31.39,29.53,26.15,20.86,15.41,,NOAA data
28,36,151,Northern Gulf of Mexico ,Gulf of Mexico,32,San Antonio Bay,San Antonio Bay,-96.7414856,28.32614229,248,Texas,TX,Warm Temperate Northwest Atlantic,Eastern,346330,8,2590,3.79,,57.53,,,25.39,71,1.05,30.18,91,2.74,2158,4.2,,,3.4,47.2,0.22,0.8,97.66,3.61,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,30.49,14.27,15.43,19.61,22.48,26.99,30.01,30.56,30.89,29.32,25.68,20.56,14.4,,NOAA data
33,45,147,Northern Gulf of Mexico ,Gulf of Mexico,28,Sabine Lake (TX only),Sabine Lake,-93.8671875,29.89840087,287,Texas/Louisiana,TX,Warm Temperate Northwest Atlantic,Eastern,659850,10,259,3.83,,57.53,,,25.39,71,0.7,30.18,91,3.13,480,40.64,,,26.24,52.38,0.32,14.4,98.82,3.78,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,30.93,12.9,14.34,18.84,22.21,26.76,30.04,30.93,31.81,30.06,26.69,20.47,15.63,,NOAA data
38,14,155-157,Northern Gulf of Mexico ,Gulf of Mexico,,"Laguna Madre(Upper and Lower, and Baffin Bay)",Laguna Madre,-97.42263794,26.83877606,,Texas,TX,Warm Temperate Northwest Atlantic,Eastern,1195020,55,777,3.83,,57.53,,,25.39,71,0.7,30.18,91,3.13,68,0.747684309,,,0.61,45.49,0.19,0.137569717,85.42,2.15,beseres2011,(length/10^1.846)^(1/0.258),BeseresPollack et al 2011 for Aransas Bay,31.39,19.64,18.01,20.94,25.86,29.11,31.09,31.44,31.65,30.97,27.98,23.83,19.91,,NOAA data
8,21,51,Gulf of Maine/Bay of Fundy,,13,Great Bay,Great Bay,-70.88001251,43.07139581,711,New Hampshire,NH,Cold Temperate Northwest Atlantic,Eastern,177660,1,,,,,,,,,,,,,87,286.91,54.54706927,0.540421065,,,,,,,bushek,0.00003*Length^2.4503,Bushek unpublished data,20.51,NA,NA,6.93,9.5,13.69,18.25,21.43,21.84,18.75,12.89,7.45,4.69,,NERR
7,5,72,Virginian,Atlantic,8,Barnegat Bay,Barnegat Bay,-74.11548615,39.8620537,,New Jersey,NJ,Cold Temperate Northwest Atlantic,Eastern,118300,4,5261,2.21,,17.54,,,12.39,62,0.74,5.15,82,1.47,0,,,,,,,,,,bushek,0.00003*Length^2.4503,Bushek unpublished data,20.19,2.78,1.67,5.56,8.89,13.33,17.22,20.83,22.5,21.11,16.11,11.67,6.67,,NOAA NODC from Atlantic CityNJ data
