OLD,,,,,,,,,,,,,,,,,,
coast,type,species,commonName,juvMeanM2,juvStDevM2,juvMeanHa,juvMeanAcre,juvStDevAcre,rYears,meanNumIndR,indMeanAcreAgeR,meanProductionGM2,stDevProductionGM2,meanProductionKgHa,meanProductionKgAcre,stDevProductionKgAcre,abundanceWeight,
Gulf of Mexico,crustacean,Callinectes sapidus,Blue Crab,1.317,0.827,13170,29997,27241,0.75,3.227,13058,143.86,64.169,1438.6,20,18,1,
Gulf of Mexico,crustacean,Farfantepenaeus aztecus,Brown Shrimp,1.036,0.627,10360,4195,2539,0.5,0.007,27,7,4.2,70,28,17,1,
Gulf of Mexico,fish,Ctenogobius boleosoma,Darter Goby,0.234,0.169,2340,946,682,,,NA,0.5,0.3,5,2,1,1,
Gulf of Mexico,fish,Hypsoblennius hentz,Feather Blenny,0.074,0.02,740,298,81,,,NA,0.2,0.1,2,1,0.4,1,
Gulf of Mexico,fish,Hypsoblennius ionthas,Freckled Blenny,0.392,0.269,3920,1586,1087,,,NA,1.3,0.9,13,5,4,1,
Gulf of Mexico,fish,Bathygobius soporator,Frillfin Goby,0.024,0.009,240,97,36,,,NA,2,0.7,20,8,3,1,
Gulf of Mexico,fish,Gobiosoma bosc,Naked Goby,1.92,0.488,19200,7770,1973,,,NA,2.2,0.6,22,9,2,1,
Gulf of Mexico,fish,Orthopristis chrysoptera,Pigfish,0.044,0.018,440,177,72,1,0.031,127,5.8,2.4,58,23,10,1,
Gulf of Mexico,fish,Lagodon rhomboides,Pinfish,0.415,0.209,4150,1680,846,,,NA,33.2,16.7,332,134,68,1,
Gulf of Mexico,fish,Prionotus spp.,Sea Robin,0.012,0.015,120,50,60,,,NA,2.2,2.7,22,9,11,1,
Gulf of Mexico,fish,Archosargus probatocephalus,Sheepshead,0.139,0.101,1390,563,408,2,0.097,391,137.2,99.0376,1372,587,424,1,
Gulf of Mexico,fish,Bairdiella chrysoura,Silver Perch,0.501,0.481,5010,2027,1945,,,NA,41,39.5,410,166,160,1,
Gulf of Mexico,fish,Gobiesox strumosus,Skilletfish,0.959,0.42,9590,3883,1698,,,NA,3.1,1.4,31,13,6,1,
Gulf of Mexico,fish,Chaetodipterus faber,Spadefish,0.006,0.004,60,23,17,,,NA,3,2.2,30,12,9,1,
Gulf of Mexico,fish,Leiostomus xanthurus,Spot,0.342,0.167,3420,1385,674,,,NA,17.9,8.7,179,72,35,1,
Gulf of Mexico,crustacean,Menippe mercenaria,Stone Crab,1.936,0.214,19360,7834,865,3,0.068,276,61.4,6.8,614,27,25,1,
